MOVIEID,drama,romance,thriller,comedy,sci-fi,adventure,animation,children,imax,musical,action,mystery,crime,war,western,fantasy,horror,documentary,film-noir,no_genre
3257,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5577,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7361,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
49651,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
132046,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
170,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
3555,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
881,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
52975,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
92420,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2045,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1929,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1932,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
49280,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8530,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5381,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5538,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
7259,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6798,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
8820,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1168,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
935,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
81791,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80350,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
831,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8227,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
64410,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7616,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
82311,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26302,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6227,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8709,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26686,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4197,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8402,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6017,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
170371,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
108873,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4038,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
184903,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
86091,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
25986,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173151,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
86862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43039,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78860,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6074,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5259,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
27626,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5978,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27306,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73978,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
170369,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
149560,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
185715,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25872,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
151941,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
90319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
131062,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
170753,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
55757,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56602,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
79232,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138916,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
122791,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
104000,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
133429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
190465,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
127280,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
175461,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124164,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122462,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125117,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104954,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172987,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
106046,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
79247,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
130584,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
