"MOVIEID","IMDBID","TITLE","GENRES","TITLETYPE","STARTYEAR","RELEASE_DATE_TXT","RUNTIME","PRODUCTION_COMPANIES","POPULARITY","ORIGINAL_LANGUAGE","RUNTIMEMINUTES","DIRECTOR_NAME","DIRECTOR_GENDER","ACTOR1_NAME","ACTOR1_GENDER","ACTOR2_NAME","ACTOR2_GENDER","AVERAGERATING","NUMVOTES","BUDGET","REVENUE","VOTE_COUNT","VOTE_AVERAGE","ML_RCOUNT","ML_RATING"
3257,"0103855","The Bodyguard","Drama|Romance|Thriller","movie",1992,"25/11/1992",129,"Tig Productions",2.484707,"en","129","Mick Jackson",2,"Whitney Houston",1,"Kevin Costner",2,6.3,113680,25000000,411006740,593,6.1,6251,2.79667253239481682930731083026715725484
5577,"0280760","Igby Goes Down","Comedy|Drama","movie",2002,"13/09/2002",97,"United Artists",0.167142,"en","98","Burr Steers",0,"Kieran Culkin",0,"Claire Danes",1,6.9,31438,9000000,4777465,86,6.6,2501,3.53278688524590163934426229508196721311
7361,"0338013","Eternal Sunshine of the Spotless Mind","Drama|Romance|Sci-Fi","movie",2004,"19/03/2004",108,"Anonymous Content",7.056735,"en","108","Michel Gondry",2,"Jim Carrey",2,"Kate Winslet",1,8.3,869233,20000000,72258126,3330,7.9,33225,4.06635063957863054928517682468021068473
364,"0110357","The Lion King","Adventure|Animation|Children|Drama|Musical|IMAX","movie",1994,"23/06/1994",89,"Walt Disney Pictures",7.399637,"en","88","Roger Allers",2,"Jonathan Taylor Thomas",2,"Matthew Broderick",2,8.5,897830,45000000,788241776,4953,7.9,42745,3.81713650719382383904550239794127968183
49651,"0479143","Rocky Balboa","Action|Drama","movie",2006,"20/12/2006",102,"Columbia Pictures",1.066883,"en","102","Sylvester Stallone",2,"Sylvester Stallone",2,"Burt Young",2,7.1,197920,24000000,155721132,774,6.5,1974,3.36803444782168186423505572441742654509
132046,"1964418","Tomorrowland","Action|Adventure|Children|Mystery|Sci-Fi","movie",2015,"19/05/2015",130,"Walt Disney Pictures",10.677702,"en","130","Brad Bird",2,"Britt Robertson",1,"George Clooney",2,6.4,166951,190000000,209154322,2674,6.2,1952,3.22156762295081967213114754098360655738
170,"0113243","Hackers","Action|Adventure|Crime|Thriller","movie",1995,"14/09/1995",107,"United Artists",1.860988,"en","105","Iain Softley",2,"Jonny Lee Miller",2,"Angelina Jolie",1,6.3,63540,20000000,7563728,382,6.2,7721,3.21571040020722704312912835124983810387
3555,"0141926","U-571","Action|Thriller|War","movie",2000,"20/04/2000",116,"Universal Pictures",1.766698,"en","116","Jonathan Mostow",2,"Matthew McConaughey",2,"Bill Paxton",2,6.6,74499,62000000,127666415,320,6.1,6844,3.32999707773232028053769725306838106371
881,"0116311","First Kid","Children|Comedy","movie",1996,"30/08/1996",101,"Walt Disney Pictures",0.565349,"en","101","David M. Evans",2,"Sinbad",2,"Brock Pierce",2,5.2,9805,0,0,27,5.3,1040,2.825
52975,"0427327","Hairspray","Comedy|Drama|Musical","movie",2007,"13/07/2007",117,"New Line Cinema",3.314905,"en","117","Adam Shankman",2,"John Travolta",2,"Michelle Pfeiffer",1,6.6,116401,50000000,90450008,634,6.5,2129,3.3179896665100986378581493658994833255
92420,"1706593","Chronicle","Action|Sci-Fi|Thriller","movie",2012,"01/02/2012",84,"Twentieth Century Fox Film Corporation",4.620089,"en","84","Josh Trank",2,"Dane DeHaan",2,"Alex Russell",2,7,234717,15000000,145000000,1798,6.6,2652,3.58427601809954751131221719457013574661
2045,"0106868","A Far Off Place","Adventure|Children|Drama|Romance","movie",1993,"12/03/1993",100,"Amblin Entertainment",0.70649,"en","100","Mikael Salomon",2,"Reese Witherspoon",1,"Ethan Embry",2,6.6,3230,0,12890752,12,6.2,374,3.3836898395721925133689839572192513369
