"","TITLE","STARTYEAR","RELEASE_DATE_TXT","RUNTIME","PRODUCTION_COMPANIES","POPULARITY","DIRECTOR_NAME","DIRECTOR_GENDER","ACTOR1_NAME","ACTOR1_GENDER","ACTOR2_NAME","ACTOR2_GENDER","AVERAGERATING","NUMVOTES","BUDGET","REVENUE","VOTE_COUNT","VOTE_AVERAGE","ML_RCOUNT","ML_RATING","REVENUElog","drama","romance","thriller","comedy","sci-fi","adventure","animation","children","imax","musical","action","mystery","crime","war","western","fantasy","horror","documentary","film-noir","NO_GENRE"
"1","The Bodyguard",1992,"25/11/1992",129,"Tig Productions",2.484707,"Mick Jackson",2,"Whitney Houston",1,"Kevin Costner",2,6.3,113680,17.0343864228325,411006740,593,6.1,6251,2.79667253239482,19.8341201737859,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Igby Goes Down",2002,"13/09/2002",97,"United Artists",0.167142,"Burr Steers",0,"Kieran Culkin",0,"Claire Danes",1,6.9,31438,16.0127352464116,4777465,86,6.6,2501,3.5327868852459,15.3794208383784,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Eternal Sunshine of the Spotless Mind",2004,"19/03/2004",108,"Anonymous Content",7.056735,"Michel Gondry",2,"Jim Carrey",2,"Kate Winslet",1,8.3,869233,16.8112428815183,72258126,3330,7.9,33225,4.06635063957863,18.09575536306,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","The Lion King",1994,"23/06/1994",89,"Walt Disney Pictures",7.399637,"Roger Allers",2,"Jonathan Taylor Thomas",2,"Matthew Broderick",2,8.5,897830,17.6221730699568,788241776,4953,7.9,42745,3.81713650719382,20.4853154243655,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"5","Rocky Balboa",2006,"20/12/2006",102,"Columbia Pictures",1.066883,"Sylvester Stallone",2,"Sylvester Stallone",2,"Burt Young",2,7.1,197920,16.9935644299789,155721132,774,6.5,1974,3.36803444782168,18.8635773565598,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"6","Tomorrowland",2015,"19/05/2015",130,"Walt Disney Pictures",10.677702,"Brad Bird",2,"Britt Robertson",1,"George Clooney",2,6.4,166951,19.0625346353879,209154322,2674,6.2,1952,3.22156762295082,19.1585829250149,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"7","Hackers",1995,"14/09/1995",107,"United Artists",1.860988,"Iain Softley",2,"Jonny Lee Miller",2,"Angelina Jolie",1,6.3,63540,16.8112428815183,7563728,382,6.2,7721,3.21571040020723,15.8388748805142,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"8","U-571",2000,"20/04/2000",116,"Universal Pictures",1.766698,"Jonathan Mostow",2,"Matthew McConaughey",2,"Bill Paxton",2,6.6,74499,17.9426449591384,127666415,320,6.1,6844,3.32999707773232,18.6649312950284,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"9","First Kid",1996,"30/08/1996",101,"Walt Disney Pictures",0.565349,"David M. Evans",2,"Sinbad",2,"Brock Pierce",2,5.2,9805,0,0,27,5.3,1040,2.825,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"10","Hairspray",2007,"13/07/2007",117,"New Line Cinema",3.314905,"Adam Shankman",2,"John Travolta",2,"Michelle Pfeiffer",1,6.6,116401,17.7275335833924,90450008,634,6.5,2129,3.3179896665101,18.3203078693081,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
