"MOVIEID","DRAMA","ROMANCE","THRILLER","COMEDY","SCI_FI","ADVENTURE","ANIMATION","CHILDREN","IMAX","MUSICAL","ACTION","MYSTERY","CRIME","WAR","WESTERN","FANTASY","HORROR","DOCUMENTARY","FILM_NOIR","NO_GENRE"
900,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
260,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
551,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
589,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
595,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0
599,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
913,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
918,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
919,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
925,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
938,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
940,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
941,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
963,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
976,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
986,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1017,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1022,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
1025,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
1032,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0
1035,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
